0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,0.0,0.0,0.0,0.0998,0.8238
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,-20.0,0.402,3.1787,0.534,0.4522
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,-40.0,0.8365,6.8475,1.0598,0.1147
3819.0,-159.09,225.6,4179.0,-95.12,185.9,4092.0,-417.03,167.1,4092.5,-152.9,452.0,4332.0,-192.11,446.0,4092.5,-412.9,454.1,4214.5,-358.22,264.01,4245.5,-84.81,359.96,-60.0,1.3392,11.2847,1.678,-0.1903
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,200.0,18.8109,-44.2478,-14.6288,3.7712
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,180.0,16.5056,-37.2324,-14.1422,4.2315
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,160.0,14.456,-31.5455,-13.7089,4.7193
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,140.0,12.5862,-26.7049,-13.323,5.2409
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,120.0,10.8349,-22.425,-12.9792,5.8048
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,100.0,9.1507,-18.518,-12.6731,6.4224
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,80.0,7.487,-14.8463,-12.4012,7.1088
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,60.0,5.7963,-11.2949,-12.1604,7.8848
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,40.0,4.0236,-7.7484,-11.9481,8.7812
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,20.0,2.0944,-4.0619,-11.7618,9.8472
3889.0,-323.0,225.6,4229.0,-390.0,225.9,4132.0,-663.5,181.65,3922.5,-370.0,452.0,4172.0,-400.0,456.0,4092.5,-625.5,374.1,4264.5,-650.5,218.0,4245.5,-308.0,407.0,0.0,-0.1105,0.0,-11.5987,11.1695
